day,start_span,original_entity,lat,lng,resolved_entity
180,1894,Garden,45.7747,-86.5507,Garden
181,244,Europe,48.69096,9.14062,Europe
182,210,River,45.75278,0.36194,River
183,206,Vienna,48.20849,16.37208,Vienna
183,277,Cairo,30.06263,31.24967,Cairo
183,490,Vienna,48.20849,16.37208,Vienna
183,1064,Paris,48.85341,2.3488,Paris
183,1487,Baghdad,33.34058,44.40088,Baghdad
183,1843,America,39.76,-98.5,America
183,2111,Fort,29.52749,-95.77089,Fort
185,457,Wes,30.61937,-88.17116,Wes
185,1183,Baghdad,33.34058,44.40088,Baghdad
187,1091,Baghdad,33.34058,44.40088,Baghdad
190,621,For,26.23344,50.52,For
191,497,Baghdad,33.34058,44.40088,Baghdad
191,1193,London,51.50853,-0.12574,London
191,1508,London,51.50853,-0.12574,London
191,1787,England,52.16045,-0.70312,England
191,1892,Baghdad,33.34058,44.40088,Baghdad
191,2069,Baghdad,33.34058,44.40088,Baghdad
194,247,Baghdad,33.34058,44.40088,Baghdad
195,171,Ely,52.39964,0.26196,Ely
196,115,Vienna,48.20849,16.37208,Vienna
196,239,London,51.50853,-0.12574,London
196,914,Vienna,48.20849,16.37208,Vienna
196,1000,Paris,48.85341,2.3488,Paris
196,1022,Milan,45.46427,9.18951,Milan
196,1057,Vienna,48.20849,16.37208,Vienna
196,1159,Paris,48.85341,2.3488,Paris
197,298,Baghdad,33.34058,44.40088,Baghdad
197,1214,Baghdad,33.34058,44.40088,Baghdad
197,1299,river,45.75278,0.36194,River
198,410,Erly,40.40897,-77.33888,Erly
199,803,Baghdad,33.34058,44.40088,Baghdad
19,570,Gorna,53.3342,31.663,Gorna
1,878,Baghdad,33.34058,44.40088,Baghdad
201,418,Baghdad,33.34058,44.40088,Baghdad
202,1283,East,27.23998,87.14802,East
203,139,Amara,11.5,38.5,Amara
205,42,Mossul,36.335,43.11889,Mossul
205,169,River,45.75278,0.36194,River
205,323,Diala,-7.95223,24.33318,Diala River
205,381,Deckman,32.74596,-96.99778,Deckman
206,399,Europe,48.69096,9.14062,Europe
20,203,Baghdad,33.34058,44.40088,Baghdad
20,283,Asfar,30.3,35.66667,Asfar
20,1068,Baghdad,33.34058,44.40088,Baghdad
210,216,Vienna,48.20849,16.37208,Vienna
211,351,Diala,-7.95223,24.33318,Diala River
211,1209,Cairo,30.06263,31.24967,Cairo
212,207,Coot,51.16679,-56.8148,Coot
