original_entity,geonames,fcode,lat,lng,resolved_entity
Ajaj,geonames:250806,JO,32.67463,35.67898,Ajaj
Mehdi,geonames:124377,IR,31.81028,48.855,Mehdi
Mehdi,geonames:124377,IR,31.81028,48.855,Mehdi
Baghdadieh,,,,,Baghdadieh
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
Custom House,geonames:12048335,GB,51.51208,0.03521,Custom House
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
Mons,geonames:2993207,BE,50.63333,3.11667,Mons
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Dawar,geonames:1143771,AF,33.35944,69.37811,Dawar
Baghdadieh,,,,,Baghdadieh
Paris,geonames:2988507,FR,48.85341,2.3488,Paris
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Arabian,geonames:1022431,ZA,-27.12678,26.78791,Arabian
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Marseilles,geonames:2995469,FR,43.29695,5.38107,Marseilles
Ishak,geonames:311188,TR,37.1871,29.61177,Ishak
Baghdad,geonames:98182,IQ,33.34058,44.40088,Baghdad
Beyrouth,geonames:276781,LB,33.89332,35.50157,Beyrout
Henri,geonames:3527146,MX,18.31667,-93.5,Henri
Ulto,geonames:477685,RU,46.21338,39.58851,Ulto
Mossul,geonames:99072,IQ,36.335,43.11889,Mossul
London,geonames:2643743,GB,51.50853,-0.12574,London
Okes,geonames:303614,TR,38.22549,31.54934,Okes
Turkistan,geonames:1524787,KZ,43.25,68.66667,Turkistan
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Carmes,geonames:5492165,US,35.89365,-105.3364,Carmes
Montpellier,geonames:2992166,FR,43.61093,3.87635,Montpellier
Basreh,geonames:6686495,IR,36.1445,45.574,Basreh
Mirza,geonames:1133202,AF,33.13746,68.76806,Mirza
Ctesiphon,geonames:90287,IQ,33.08333,44.58333,Ctesiphon
Swera,geonames:91225,IQ,36.37456,44.57847,Swera
Khalifah,geonames:73887,YE,14.88065,43.31353,Khalifah
Satur,geonames:91450,IQ,36.18042,43.79816,Satur
Swera,geonames:91225,IQ,36.37456,44.57847,Swera
