day,start_span,original_entity,lat,lng,resolved_entity
100,335,Coot,51.16679,-56.8148,Coot
101,283,Memlah,34.30101,70.10191,Memlah
102,286,river,45.75278,0.36194,River
102,1233,Alexandria,31.20176,29.91582,Alexandretta
103,483,Paris,48.85341,2.3488,Paris
103,1407,Paris,48.85341,2.3488,Paris
103,1495,Paris,48.85341,2.3488,Paris
104,373,Paris,48.85341,2.3488,Paris
104,453,Baghdad,33.34058,44.40088,Baghdad
104,682,Paris,48.85341,2.3488,Paris
104,908,Paris,48.85341,2.3488,Paris
105,475,Baghdad,33.34058,44.40088,Baghdad
106,689,Fahama,35.85266,-5.37843,Fahama
107,804,Paris,48.85341,2.3488,Paris
107,1341,Paris,48.85341,2.3488,Paris
108,387,Jaffer,34.10763,-5.50632,Jaffer
108,965,Bombay,19.07283,72.88261,Bombay
108,1060,Fort,29.52749,-95.77089,Fort
10,297,Baghdad,33.34058,44.40088,Baghdad
110,505,Baghdad,33.34058,44.40088,Baghdad
111,48,Amara,11.5,38.5,Amara
112,560,London,51.50853,-0.12574,London
112,1337,Baghdad,33.34058,44.40088,Baghdad
114,180,Amara,11.5,38.5,Amara
114,600,Coot,51.16679,-56.8148,Coot
115,413,Vienna,48.20849,16.37208,Vienna
115,445,Baghdad,33.34058,44.40088,Baghdad
116,464,Europe,48.69096,9.14062,Europe
117,457,Europe,48.69096,9.14062,Europe
117,492,Baghdad,33.34058,44.40088,Baghdad
11,708,Baghdad,33.34058,44.40088,Baghdad
11,1102,South,33.45876,-90.15081,South
11,1332,Baghdad,33.34058,44.40088,Baghdad
11,1575,Vienna,48.20849,16.37208,Vienna
11,1829,Paris,48.85341,2.3488,Paris
11,2560,Baghdad,33.34058,44.40088,Baghdad
11,2734,Berlin,52.52437,13.41053,Berlin
122,167,Baghdad,33.34058,44.40088,Baghdad
122,1227,For,39.21455,-76.51941,For
123,384,Coot,51.16679,-56.8148,Coot
123,910,Baghdad,33.34058,44.40088,Baghdad
124,359,Amara,11.5,38.5,Amara
126,909,Baghdad,33.34058,44.40088,Baghdad
127,483,Bombay,19.07283,72.88261,Bombay
129,594,Fort,29.52749,-95.77089,Fort
12,1247,Baghdad,33.34058,44.40088,Baghdad
12,1517,London,51.50853,-0.12574,London
130,1980,Paris,48.85341,2.3488,Paris
130,2658,Paris,48.85341,2.3488,Paris
131,824,Paris,48.85341,2.3488,Paris
131,1459,Paris,48.85341,2.3488,Paris
131,1890,East,27.23998,87.14802,East
132,1895,Paris,48.85341,2.3488,Paris
133,381,Paris,48.85341,2.3488,Paris
133,571,Vienna,48.20849,16.37208,Vienna
133,652,Paris,48.85341,2.3488,Paris
133,1578,Paris,48.85341,2.3488,Paris
133,1915,Paris,48.85341,2.3488,Paris
133,2144,Baghdad,33.34058,44.40088,Baghdad
134,80,Fresh,18.02053,-76.85728,Fresh
134,286,Paris,48.85341,2.3488,Paris
134,842,Paris,48.85341,2.3488,Paris
135,468,Paris,48.85341,2.3488,Paris
135,554,Cargo,-33.42406,148.80904,Cargo
135,1228,Paris,48.85341,2.3488,Paris
135,2175,Paris,48.85341,2.3488,Paris
135,2236,Paris,48.85341,2.3488,Paris
136,275,river,45.75278,0.36194,River
136,642,Baghdad,33.34058,44.40088,Baghdad
137,236,Europe,48.69096,9.14062,Europe
137,428,Baghdad,33.34058,44.40088,Baghdad
138,113,Fort,29.52749,-95.77089,Fort
139,414,Baghdad,33.34058,44.40088,Baghdad
140,748,Basreh,26.2598,57.2249,Basreh
141,113,After,-34.90385,-56.1326,After
141,347,Paris,48.85341,2.3488,Paris
141,1302,London,51.50853,-0.12574,London
141,1314,Paris,48.85341,2.3488,Paris
141,1809,Baghdad,33.34058,44.40088,Baghdad
142,564,Baghdad,33.34058,44.40088,Baghdad
142,1319,Westerly,41.3776,-71.82729,Westerly
142,1398,Baghdad,33.34058,44.40088,Baghdad
144,567,Baghdad,33.34058,44.40088,Baghdad
144,884,Erly,40.40897,-77.33888,Erly
144,921,Shoa,-20.03011,148.28609,Shoa
144,1019,Wes,30.61937,-88.17116,Wes
145,50,Erly,40.40897,-77.33888,Erly
145,124,river,45.75278,0.36194,River
145,1926,Paris,48.85341,2.3488,Paris
148,801,Lebano,34.00083,35.99917,Lebano
149,326,Paris,48.85341,2.3488,Paris
149,479,Paris,48.85341,2.3488,Paris
150,80,River,45.75278,0.36194,River
150,134,Baghdad,33.34058,44.40088,Baghdad
150,688,Weather,-18.33333,-178.5,Weather
150,1059,Fort,29.52749,-95.77089,Fort
151,381,England,52.16045,-0.70312,England
151,535,Baghdad,33.34058,44.40088,Baghdad
154,247,Canal,29.89576,-89.89784,Canal
154,728,Mellak,47.90392,-3.57764,Mellak
154,1030,London,51.50853,-0.12574,London
155,178,Baghdad,33.34058,44.40088,Baghdad
155,404,Baghdad,33.34058,44.40088,Baghdad
155,766,Baghdad,33.34058,44.40088,Baghdad
156,311,Baghdad,33.34058,44.40088,Baghdad
156,702,N.W.,-36.03543,137.20501,Nw
158,823,Turkey,39.0,35.0,Turkey
159,165,For,26.23344,50.52,For
15,70,Channel,45.21319,-72.2313,Channel
160,241,Baghdad,33.34058,44.40088,Baghdad
162,166,River,45.75278,0.36194,River
163,207,Vienna,48.20849,16.37208,Vienna
164,188,Baghdad,33.34058,44.40088,Baghdad
164,734,Bombay,19.07283,72.88261,Bombay
164,1200,England,52.16045,-0.70312,England
164,1461,For,39.21455,-76.51941,For
166,268,Bales,15.28456,120.65083,Bales
166,594,Amara,11.5,38.5,Amara
167,278,Nafikh,31.49241,47.30537,Nafikh
169,306,Asfar,30.3,35.66667,Asfar
169,920,Baghdad,33.34058,44.40088,Baghdad
169,967,Baghdad,33.34058,44.40088,Baghdad
16,430,Baghdad,33.34058,44.40088,Baghdad
16,620,Light,-34.40981,138.84367,Light
170,436,Agha,36.76667,3.05,Agha
170,460,Bombay,19.07283,72.88261,Bombay
170,569,M.,-27.2616,-58.97219,M
170,759,Coal,40.78897,-76.55885,Coal
172,546,Fort,29.52749,-95.77089,Fort
173,239,river,45.75278,0.36194,River
173,265,Deckman,32.74596,-96.99778,Deckman
173,372,River,45.75278,0.36194,River
176,904,Baghdad,33.34058,44.40088,Baghdad
176,1952,Vienna,48.20849,16.37208,Vienna
176,2181,Paris,48.85341,2.3488,Paris
176,2250,Paris,48.85341,2.3488,Paris
177,697,Germany,51.5,10.5,Germany
177,1031,It,42.83333,12.83333,It
178,268,Diala,-7.95223,24.33318,Diala River
17,32,Erly,40.40897,-77.33888,Erly
17,157,Coot,51.16679,-56.8148,Coot
17,416,Jewess,38.73574,-122.68749,Jewess
180,471,Coal,40.78897,-76.55885,Coal
181,188,Nafikh,31.49241,47.30537,Nafikh
181,612,Basreh,26.2598,57.2249,Basreh
182,622,Baghdad,33.34058,44.40088,Baghdad
182,756,Basreh,26.2598,57.2249,Basreh
