original_entity	geonames	fcode	lat	lng
Mossul	geonames:99072	IQ	36.335	43.11889
London	geonames:2643743	GB	51.50853	-0.12574
Okes	geonames:303614	TR	38.22549	31.54934
Turkistan	geonames:1524787	KZ	43.25	68.66667
Montpellier	geonames:2992166	FR	43.61093	3.87635
Carmes	geonames:5492165	US	35.89365	-105.3364
Montpellier	geonames:2992166	FR	43.61093	3.87635
Basreh	geonames:6686495	IR	36.1445	45.574
Mirza	geonames:1133202	AF	33.13746	68.76806
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Swera	geonames:91225	IQ	36.37456	44.57847
Khalifah	geonames:73887	YE	14.88065	43.31353
Satur	geonames:91450	IQ	36.18042	43.79816
Swera	geonames:91225	IQ	36.37456	44.57847
Ramadi	geonames:98717	IQ	33.42056	43.30778
Europe	geonames:6255148		48.69096	9.14062
Swera	geonames:91225	IQ	36.37456	44.57847
Baghdadieh				
Baghdad	geonames:98182	IQ	33.34058	44.40088
Khalifah	geonames:73887	YE	14.88065	43.31353
Arabistan	geonames:127084	IR	30.5	50
Marseilles	geonames:2995469	FR	43.29695	5.38107
Parran	geonames:4364968	US	38.6029	-76.57023
Marseilles	geonames:2995469	FR	43.29695	5.38107
Turkistan	geonames:1524787	KZ	43.25	68.66667
London	geonames:2643743	GB	51.50853	-0.12574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Faraj	geonames:92185	IQ	35.73978	43.90521
Deir	geonames:361838	EG	25.33503	32.58179
Satur	geonames:91450	IQ	36.18042	43.79816
Okes	geonames:303614	TR	38.22549	31.54934
Montpellier	geonames:2992166	FR	43.61093	3.87635
Baghdadieh				
Bostan	geonames:4930956	US	42.35843	-71.05977
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Montpellier	geonames:2992166	FR	43.61093	3.87635
Carmes	geonames:5492165	US	35.89365	-105.3364
Montpellier	geonames:2992166	FR	43.61093	3.87635
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Tarascon	geonames:2973393	FR	43.80583	4.66028
Carmes	geonames:5492165	US	35.89365	-105.3364
Turquie	geonames:298795	TR	39	35
Constantinople	geonames:745044	TR	41.01384	28.94966
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Ulto	geonames:477685	RU	46.21338	39.58851
Montpellier	geonames:2992166	FR	43.61093	3.87635
Marseilles	geonames:2995469	FR	43.29695	5.38107
Baluchistan	geonames:1183606	PK	28.47849	65.64355
Port Said	geonames:358617	EG	31.12339	32.41926
Turkistan	geonames:1524787	KZ	43.25	68.66667
Euphrates	geonames:170792	SY	35.16667	40.28333
Aleppo	geonames:170063	SY	36.20124	37.16117
Pere	geonames:7100355	PK	33.68952	73.64238
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Chiha	geonames:172541	SY	35.15507	36.68449
Tessy	geonames:2973058	FR	48.97381	-1.06087
Lebanon Mountains	geonames:272077	LB	34.00083	35.99917
Damascus	geonames:170654	SY	33.5102	36.29128
Basreh	geonames:6686495	IR	36.1445	45.574
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Baghdadieh				
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
England	geonames:6269131	GB	52.16045	-0.70312
Khalifah	geonames:73887	YE	14.88065	43.31353
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Ajaj	geonames:250806	JO	32.67463	35.67898
Mond	geonames:3720731	HT	20.05	-72.8
Jubela				
Basreh	geonames:6686495	IR	36.1445	45.574
Baluchistan	geonames:1183606	PK	28.47849	65.64355
London	geonames:2643743	GB	51.50853	-0.12574
Basreh	geonames:6686495	IR	36.1445	45.574
Basreh	geonames:6686495	IR	36.1445	45.574
Baghdad	geonames:98182	IQ	33.34058	44.40088
Baghdad	geonames:98182	IQ	33.34058	44.40088
Baghdad	geonames:98182	IQ	33.34058	44.40088
Faraj	geonames:92185	IQ	35.73978	43.90521
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Basreh	geonames:6686495	IR	36.1445	45.574
Ulto	geonames:477685	RU	46.21338	39.58851
Arabistan	geonames:127084	IR	30.5	50
Philippopolis	geonames:164626	SY	32.85237	36.62847
Turkey	geonames:298795	TR	39	35
Baghdadieh				
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Diala	geonames:1432221	IN	33.23562	74.37585
Tarascon	geonames:2973393	FR	43.80583	4.66028
Marie Joseph	geonames:3721327	HT	19.16667	-72.31667
Basreh	geonames:6686495	IR	36.1445	45.574
Damascus	geonames:170654	SY	33.5102	36.29128
Basreh	geonames:6686495	IR	36.1445	45.574
Diala	geonames:1432221	IN	33.23562	74.37585
Ctesiphon	geonames:90287	IQ	33.08333	44.58333
Persia	geonames:130758	IR	32	53
Hassa	geonames:7358210	YE	14.34116	43.88275
Hassa	geonames:7358210	YE	14.34116	43.88275
Basreh	geonames:6686495	IR	36.1445	45.574
Malamir	geonames:130697	IR	31.83027	49.86756
England	geonames:6269131	GB	52.16045	-0.70312
Khalifah	geonames:73887	YE	14.88065	43.31353
Okes	geonames:303614	TR	38.22549	31.54934
Baghdadieh				
Polus	geonames:641071	FI	64.41667	24.7
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
Jubela				
Basreh	geonames:6686495	IR	36.1445	45.574
Malamir	geonames:130697	IR	31.83027	49.86756
Fao	geonames:2268339	PT	37.01869	-7.92716
Belem	geonames:3405870	BR	-1.45583	-48.50444
Belem	geonames:3405870	BR	-1.45583	-48.50444
Belem	geonames:3405870	BR	-1.45583	-48.50444
Ashar	geonames:99577	IQ	30.51565	47.84078
Belem	geonames:3405870	BR	-1.45583	-48.50444
Keran	geonames:3029182	FR	44.23307	4.93272
Teheran	geonames:112931	IR	35.69439	51.42151
Baghdad	geonames:98182	IQ	33.34058	44.40088
Agha Khan	geonames:1341856	PK	30.83706	66.86635
Sheikh Saad	geonames:172591	SY	32.83548	36.03716
